date,region,market,commodity,min_price,max_price,unit,source_pdf,page,table_title,row_number
2026-08-10,Dar es salaam,Ilala,Maize (Mahindi),90000,100000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,1
2026-08-10,Dar es salaam,Ilala,Rice (Mchele),230000,320000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,1
2026-08-10,Dar es salaam,Ilala,Sorghum (Mtama),110000,130000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,1
2026-08-10,Dar es salaam,Ilala,Bulrush Millet (Uwele),100000,130000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,1
2026-08-10,Dar es salaam,Ilala,Finger Millet (Ulezi),180000,180000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,1
2026-08-10,Dar es salaam,Ilala,Beans (Maharage),320000,350000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,1
2026-08-10,Dar es salaam,Ilala,Irish Potatoes (Viazi Mviringo),90000,100000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,1
2026-08-10,Dar es saalam,Tandika,Maize (Mahindi),100000,110000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,2
2026-08-10,Dar es saalam,Tandika,Rice (Mchele),220000,300000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,2
2026-08-10,Dar es saalam,Tandika,Sorghum (Mtama),120000,140000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,2
2026-08-10,Dar es saalam,Tandika,Bulrush Millet (Uwele),100000,110000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,2
2026-08-10,Dar es saalam,Tandika,Finger Millet (Ulezi),300000,330000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,2
2026-08-10,Dar es saalam,Tandika,Wheat Grain (Ngano),160000,180000,TZS per 100kg,"Bei ya bidhaa th  10 ,Agost ,2026 Imewekwa 10th Aug 2026",1,,2
