date,region,market,commodity,min_price,max_price,unit,source_pdf,page,table_title,row_number
2021-05-05,Arusha,Arusha (Urban),Maize (Mahindi),43000,45000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",4
2021-05-05,Arusha,Arusha (Urban),Rice (Mchele),140000,170000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",4
2021-05-05,Arusha,Arusha (Urban),Sorghum (Mtama),60000,65000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",4
2021-05-05,Arusha,Arusha (Urban),Bulrush Millet,70000,75000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",4
2021-05-05,Arusha,Arusha (Urban),Finger Millet (Ulezi),120000,125000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",4
2021-05-05,Arusha,Arusha (Urban),Wheat (Ngano Punje),70000,78000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",4
2021-05-05,Arusha,Arusha (Urban),Beans (Maharage),130000,165000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",4
2021-05-05,Arusha,Arusha (Urban),Irish Potatoes (Viazi,70000,75000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",4
2021-05-05,D'Salaam,Temeke (Tandika),Maize (Mahindi),46000,47000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",5
2021-05-05,D'Salaam,Temeke (Tandika),Rice (Mchele),120000,210000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",5
2021-05-05,D'Salaam,Temeke (Tandika),Sorghum (Mtama),80000,100000,TZS per 100kg,"sw-1620383595-Wholesale prices Report  05th May, 2021 fe.pdf",1,"BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) _05 Mei, 2021",5
